Date,Energy,Cloud Coverage,Visibility,Temperature,Dew Point,Relative Humidity,Wind Speed
2017-01-02 12:00:00,449.25,1.0,1.85,6.97,6.9,98.24,10.92
2016-02-07 09:00:00,3165.5,0.0,10.0,3.96,-0.61,70.2,17.96
2016-02-22 09:00:00,2637.0,0.04,10.0,2.99,-1.34,71.04,10.57
2017-10-03 08:00:00,710.25,1.0,10.0,21.6,17.14,72.8,11.84
2017-02-27 07:00:00,680.5,1.0,10.0,2.75,0.7,85.4,6.64
2016-05-25 06:00:00,273.95,0.0,10.0,20.08,17.37,86.04,8.04
2017-04-25 13:00:00,4692.0,0.0,10.0,26.22,9.53,32.68,19.68
2016-06-23 10:00:00,3000.0,0.53,10.0,30.03,24.38,69.92,9.48
2017-05-28 14:00:00,3040.5,0.73,10.0,25.62,16.38,55.28,17.2
2016-04-11 07:00:00,297.75,0.45,7.97,10.1,8.58,88.27,10.18
2016-10-10 10:00:00,3481.25,0.0,10.0,20.94,10.2,49.96,3.96
2016-06-19 17:00:00,1913.5,0.14,10.0,31.03,21.62,54.56,7.4
2016-09-18 17:00:00,1115.5,0.0,10.0,26.77,12.52,38.8,0.96
2016-04-20 14:00:00,1166.25,0.99,10.0,18.91,12.68,66.12,12.6
2016-03-14 15:00:00,1068.5,0.92,10.0,14.27,12.51,83.96,6.64
2017-06-19 08:00:00,784.0,0.43,10.0,23.35,16.43,65.6,10.32
2016-09-19 14:00:00,4069.5,0.0,10.0,30.46,11.92,30.4,9.72
2016-05-24 09:00:00,3056.0,0.0,10.0,26.0,11.9,38.36,11.16
2017-03-07 17:00:00,205.63,0.0,10.0,9.81,-0.8,45.36,12.32
2017-06-22 09:00:00,836.25,0.96,10.0,27.64,22.48,72.39,9.8
2016-04-15 10:00:00,3422.0,0.0,10.0,20.15,2.15,28.96,9.36
2017-06-05 06:00:00,351.0,0.0,8.84,21.34,18.84,87.44,5.48
2016-04-21 08:00:00,547.5,1.0,3.2,15.15,14.8,96.84,6.08
2017-03-31 17:00:00,182.5,0.11,6.48,5.73,4.58,27.4,11.67
2017-09-11 09:00:00,2790.5,0.0,10.0,19.56,11.18,58.36,7.6
2017-06-06 14:00:00,4632.75,0.28,10.0,25.89,7.49,30.28,18.16
2017-09-17 16:00:00,996.0,1.0,10.0,25.96,17.35,58.36,8.52
2016-11-04 14:00:00,3642.75,0.0,10.0,16.12,6.28,51.08,5.16
2016-12-04 07:00:00,41.45,1.0,8.04,0.86,-0.29,88.72,7.36
2017-01-01 06:00:00,0.0,0.0,8.92,-6.49,-6.87,91.68,4.16
2016-06-18 14:00:00,4083.25,0.58,10.0,29.91,14.02,33.41,7.94
2016-02-25 06:00:00,5.8,1.0,10.0,0.71,-1.22,84.56,12.59
2016-12-03 17:00:00,0.0,0.96,10.0,0.74,-1.68,79.0,7.28
2016-04-08 13:00:00,2360.0,0.83,10.0,6.82,-0.67,58.32,24.72
2017-03-11 15:00:00,1597.75,0.0,10.0,0.91,-18.01,22.32,7.28
2017-02-26 16:00:00,332.0,0.16,10.0,7.61,-7.05,34.2,22.64
2017-07-16 12:00:00,4488.0,0.62,10.0,29.09,21.84,61.72,6.0
2016-07-05 14:00:00,3872.75,0.58,10.0,28.62,21.95,67.0,8.53
2016-12-06 08:00:00,215.25,1.0,2.81,1.54,1.02,95.23,6.22
2016-03-01 13:00:00,491.25,1.0,8.08,0.04,-0.7,90.4,24.52
2016-12-04 08:00:00,221.25,1.0,6.92,1.23,-0.13,88.47,9.08
2016-09-20 12:00:00,4112.0,0.44,10.0,31.05,19.7,49.28,4.28
2016-06-20 14:00:00,3622.25,0.63,10.0,32.74,21.28,49.24,14.28
2016-05-11 17:00:00,280.5,0.14,10.0,19.69,17.24,85.08,7.36
2017-10-07 13:00:00,2590.25,0.39,10.0,28.8,15.83,45.88,22.16
2017-04-19 10:00:00,0.0,0.02,10.0,26.03,17.38,21.38,12.4
2016-11-27 14:00:00,644.25,0.99,4.77,5.8,4.59,89.89,16.65
2017-01-25 14:00:00,340.5,1.0,10.0,5.7,3.29,79.96,18.28
2016-12-16 15:00:00,78.7,1.0,10.0,-4.42,-11.23,57.34,16.69
2017-06-11 16:00:00,2959.5,0.0,10.0,31.69,15.83,36.6,16.16
2016-05-08 11:00:00,838.0,1.0,10.0,12.99,9.22,79.88,8.4
2017-06-03 09:00:00,3002.75,0.14,10.0,28.99,13.74,37.08,0.0
2016-06-30 14:00:00,3492.0,0.82,10.0,24.88,15.65,57.04,7.8
2016-09-18 10:00:00,3904.5,0.0,10.0,25.21,13.89,48.2,4.36
2016-05-07 09:00:00,878.75,0.99,10.0,20.44,13.88,71.65,13.12
2017-06-28 11:00:00,1061.5,0.28,10.0,25.9,16.29,54.48,15.28
2016-07-08 08:00:00,1356.5,0.02,10.0,26.14,23.38,82.24,5.4
2016-10-06 17:00:00,358.75,0.0,10.0,25.26,17.41,57.72,4.68
2017-06-09 06:00:00,286.5,0.0,10.0,20.3,11.09,54.44,8.96
2016-11-19 06:00:00,0.85,1.0,10.0,2.32,-1.39,72.76,24.32
2016-09-02 06:00:00,47.03,0.0,10.0,14.73,13.79,88.92,6.4
2016-06-06 11:00:00,4418.25,0.0,10.0,28.14,8.53,28.8,20.12
2017-04-05 08:00:00,504.5,0.97,9.04,8.11,7.41,95.72,21.2
2016-05-09 16:00:00,299.25,1.0,7.36,18.66,18.04,91.68,14.08
2017-01-04 08:00:00,1221.0,0.0,10.0,-9.36,-12.72,73.04,18.64
2016-10-19 15:00:00,300.75,1.0,10.0,17.66,13.37,73.24,7.76
2017-08-14 07:00:00,726.5,0.14,10.0,20.39,17.47,83.24,0.96
2017-03-31 13:00:00,727.0,1.0,8.08,5.61,4.45,88.88,13.8
2016-06-25 13:00:00,4323.75,0.41,10.0,31.81,22.39,56.24,8.59
2016-09-11 17:00:00,1275.5,0.0,10.0,23.34,12.76,50.8,3.88
2016-08-20 08:00:00,213.75,1.0,3.72,23.83,23.33,95.79,11.07
2017-01-08 11:00:00,2863.75,0.0,9.96,-11.32,-17.62,58.0,4.4
