Hour,Day,Month,Year,Energy,Cloud Coverage,Visibility,Temperature,Dew Point,Relative Humidity,Wind Speed,Station Pressure,Altimeter
12,2,1,2017,449.25,1,1.85,6.97,6.9,98.24,10.92,29.18,29.97
9,7,2,2016,3165.5,0,10,3.96,-0.61,70.2,17.96,29.12,29.91
9,22,2,2016,2637,0.04,10,2.99,-1.34,71.04,10.57,29.37,30.17
8,3,10,2017,710.25,1,10,21.6,17.14,72.8,11.84,29.53,30.33
7,27,2,2017,680.5,1,10,2.75,0.7,85.4,6.64,29.37,30.17
6,25,5,2016,273.95,0,10,20.08,17.37,86.04,8.04,29.26,30.05
13,25,4,2017,4692,0,10,26.22,9.53,32.68,19.68,28.85,29.63
10,23,6,2016,3000,0.53,10,30.03,24.38,69.92,9.48,29.09,29.88
14,28,5,2017,3040.5,0.73,10,25.62,16.38,55.28,17.2,28.97,29.76
7,11,4,2016,297.75,0.45,7.97,10.1,8.58,88.27,10.18,29.1,29.89
10,10,10,2016,3481.25,0,10,20.94,10.2,49.96,3.96,29.55,30.35
17,19,6,2016,1913.5,0.14,10,31.03,21.62,54.56,7.4,29.36,30.16
17,18,9,2016,1115.5,0,10,26.77,12.52,38.8,0.96,29.17,29.96
14,20,4,2016,1166.25,0.99,10,18.91,12.68,66.12,12.6,29.21,30
15,14,3,2016,1068.5,0.92,10,14.27,12.51,83.96,6.64,28.92,29.7
8,19,6,2017,784,0.43,10,23.35,16.43,65.6,10.32,29.11,29.9
14,19,9,2016,4069.5,0,10,30.46,11.92,30.4,9.72,29.25,30.04
9,24,5,2016,3056,0,10,26,11.9,38.36,11.16,29.25,30.04
17,7,3,2017,205.63,0,10,9.81,-0.8,45.36,12.32,29.24,30.03
9,22,6,2017,836.25,0.96,10,27.64,22.48,72.39,9.8,29.11,29.9
10,15,4,2016,3422,0,10,20.15,2.15,28.96,9.36,29.39,30.19
6,5,6,2017,351,0,8.84,21.34,18.84,87.44,5.48,28.98,29.77
8,21,4,2016,547.5,1,3.2,15.15,14.8,96.84,6.08,29.09,29.88
17,31,3,2017,182.5,0.11,6.48,5.73,4.58,27.4,11.67,10.03,29.95
9,11,9,2017,2790.5,0,10,19.56,11.18,58.36,7.6,29.46,30.26
14,6,6,2017,4632.75,0.28,10,25.89,7.49,30.28,18.16,29.18,29.97
16,17,9,2017,996,1,10,25.96,17.35,58.36,8.52,29.27,30.06
14,4,11,2016,3642.75,0,10,16.12,6.28,51.08,5.16,29.61,30.41
7,4,12,2016,41.45,1,8.04,0.86,-0.29,88.72,7.36,29.33,30.12
6,1,1,2017,0,0,8.92,-6.49,-6.87,91.68,4.16,29.3,30.09
14,18,6,2016,4083.25,0.58,10,29.91,14.02,33.41,7.94,29.4,30.2
6,25,2,2016,5.8,1,10,0.71,-1.22,84.56,12.59,29.05,29.85
17,3,12,2016,0,0.96,10,0.74,-1.68,79,7.28,29.51,30.31
13,8,4,2016,2360,0.83,10,6.82,-0.67,58.32,24.72,29.08,29.87
15,11,3,2017,1597.75,0,10,0.91,-18.01,22.32,7.28,29.64,30.44
16,26,2,2017,332,0.16,10,7.61,-7.05,34.2,22.64,29.25,30.04
12,16,7,2017,4488,0.62,10,29.09,21.84,61.72,6,29.19,29.98
14,5,7,2016,3872.75,0.58,10,28.62,21.95,67,8.53,29.14,29.93
8,6,12,2016,215.25,1,2.81,1.54,1.02,95.23,6.22,28.96,29.75
13,1,3,2016,491.25,1,8.08,0.04,-0.7,90.4,24.52,28.96,29.75
8,4,12,2016,221.25,1,6.92,1.23,-0.13,88.47,9.08,29.3,30.1
12,20,9,2016,4112,0.44,10,31.05,19.7,49.28,4.28,29.34,30.13
14,20,6,2016,3622.25,0.63,10,32.74,21.28,49.24,14.28,29.29,30.08
17,11,5,2016,280.5,0.14,10,19.69,17.24,85.08,7.36,29.15,29.94
13,7,10,2017,2590.25,0.39,10,28.8,15.83,45.88,22.16,28.82,29.6
10,19,4,2017,0,0.02,10,26.03,17.38,21.38,12.4,8.53,30.07
14,27,11,2016,644.25,0.99,4.77,5.8,4.59,89.89,16.65,29.18,29.97
14,25,1,2017,340.5,1,10,5.7,3.29,79.96,18.28,28.78,29.56
15,16,12,2016,78.7,1,10,-4.42,-11.23,57.34,16.69,29.12,29.91
16,11,6,2017,2959.5,0,10,31.69,15.83,36.6,16.16,29.17,29.96
11,8,5,2016,838,1,10,12.99,9.22,79.88,8.4,29.18,29.97
9,3,6,2017,3002.75,0.14,10,28.99,13.74,37.08,0,29.27,30.06
14,30,6,2016,3492,0.82,10,24.88,15.65,57.04,7.8,29.2,29.99
10,18,9,2016,3904.5,0,10,25.21,13.89,48.2,4.36,29.23,30.02
9,7,5,2016,878.75,0.99,10,20.44,13.88,71.65,13.12,29.02,29.81
11,28,6,2017,1061.5,0.28,10,25.9,16.29,54.48,15.28,29.22,30.01
8,8,7,2016,1356.5,0.02,10,26.14,23.38,82.24,5.4,29.1,29.89
17,6,10,2016,358.75,0,10,25.26,17.41,57.72,4.68,29.24,30.03
6,9,6,2017,286.5,0,10,20.3,11.09,54.44,8.96,29.09,29.88
6,19,11,2016,0.85,1,10,2.32,-1.39,72.76,24.32,29.34,30.13
6,2,9,2016,47.03,0,10,14.73,13.79,88.92,6.4,29.43,30.23
11,6,6,2016,4418.25,0,10,28.14,8.53,28.8,20.12,28.93,29.72
8,5,4,2017,504.5,0.97,9.04,8.11,7.41,95.72,21.2,28.88,29.67
16,9,5,2016,299.25,1,7.36,18.66,18.04,91.68,14.08,29.08,29.87
8,4,1,2017,1221,0,10,-9.36,-12.72,73.04,18.64,29.32,30.12
15,19,10,2016,300.75,1,10,17.66,13.37,73.24,7.76,29.23,30.02
7,14,8,2017,726.5,0.14,10,20.39,17.47,83.24,0.96,29.12,29.91
13,31,3,2017,727,1,8.08,5.61,4.45,88.88,13.8,29.08,29.87
13,25,6,2016,4323.75,0.41,10,31.81,22.39,56.24,8.59,29.27,30.06
17,11,9,2016,1275.5,0,10,23.34,12.76,50.8,3.88,29.34,30.14
8,20,8,2016,213.75,1,3.72,23.83,23.33,95.79,11.07,28.92,29.7
11,8,1,2017,2863.75,0,9.96,-11.32,-17.62,58,4.4,29.91,30.72
17,15,10,2017,114.03,1,10,12.77,6.38,65.72,10.2,29.41,30.21
13,25,5,2017,2011.5,1,9.96,17.54,13.86,77.88,14.6,28.9,29.68
12,28,10,2017,854.25,1,10,4.78,0.5,73.76,13.68,29.14,29.93
7,19,9,2016,549.5,0,10,16.87,15.36,87,0,29.3,30.09
6,24,4,2016,155.6,0.53,1.75,9.87,9.8,99.58,6.28,29.26,30.06
8,23,4,2016,1006.75,0.52,10,10,6.81,75.8,2.08,29.39,30.19
12,22,2,2016,2792,0.76,10,6.02,-0.14,63.52,3.8,29.36,30.16
9,12,4,2016,3572.75,0,10,6.79,-3.04,48.92,9.48,29.57,30.37
11,31,5,2016,2175.25,0.28,10,28.35,15.62,40.12,10.76,29.18,29.97
16,28,10,2017,126.78,1,10,3.77,0,75.64,8.28,29.16,29.95
16,29,4,2016,1732.5,0.35,9.81,14.67,8.99,38.85,6.89,15.96,30.06
10,21,3,2017,2659.5,0.7,10,11.24,3.4,61.96,10.76,29.4,30.2
17,1,8,2016,1503.5,0,10,27.22,20.6,63,8,29.19,30.01
6,12,5,2017,0,0,10,11.54,9.08,82.88,7.04,29.16,29.95
8,12,9,2016,1874.25,0,10,19.36,15.17,76.64,5.36,29.36,30.16
11,17,11,2016,3041.75,0,10,20.16,11.94,57.56,16.32,29.07,29.86
13,11,4,2016,3986.75,0,10,10.06,2.54,58.76,18.64,29.19,29.98
6,20,9,2016,16.81,0.48,9.96,17.13,16.74,92.88,0.24,29.34,30.14
11,20,9,2016,3406,0.64,10,30.15,19.92,52.24,5.68,29.34,30.14
12,18,8,2016,3420.25,0.82,10,28.93,23.06,70.08,8.32,29.27,30.06
16,25,5,2016,1676.25,0,10,28.71,16.96,49.84,21.4,29.13,29.92
6,8,10,2017,0.69,0.93,0.56,11.1,10.85,96.97,1.26,29.06,29.86
7,7,4,2017,687.75,0,10,3.96,-1.03,70.64,14.2,29.32,30.11
12,24,5,2016,4022.5,0,10,29.06,10.24,28.53,18.23,29.21,30
15,16,2,2016,2020.5,0.96,7.08,2.35,-1.02,81.64,7.32,29.05,29.84
8,4,7,2016,419.25,1,2.13,19.33,19.18,97.74,5.63,29.11,29.91
11,28,1,2017,1952.75,1,9.96,0.05,-2.54,82.56,15.56,29.04,29.83
7,17,3,2016,306.65,0,10,6.74,1.3,65.23,9.52,29.14,29.93
12,2,10,2017,3858.25,0.17,10,27.9,10.66,33.84,13.64,29.38,30.18
15,12,4,2017,3690.25,0,10,19.41,3.59,35.16,5.68,29.52,30.32
15,9,4,2016,4236.5,0,10,4.11,-7.84,40.56,2.8,29.44,30.24
10,1,3,2016,564.75,1,9.96,8.28,5.5,78.29,12.69,28.87,29.65
13,14,8,2017,3721.75,0.65,10,28.22,17.33,49.72,6.92,29.07,29.86
